#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.84879372	0.00E+00
cg00001349	0.758393396	0.00E+00
cg00001583	0.12566903	0.00E+00
cg00002028	0.120498301	0.00E+00
cg00002719	0.098079394	0.00E+00
cg00002837	0.511033682	0.00E+00
cg00385956	0.909366918	0.00E+00
cg00069017	0.127523484	0.00E+00
cg27053975	0.885086507	0.00E+00
cg17757848	0.899378054	0.00E+00
cg13480774	0.802928838	0.00E+00
cg18894878	0.842739799	0.00E+00
cg19241352	0.93156474	0.00E+00
cg23968893	0.771151932	0.00E+00
cg24453820	0.845637855	0.00E+00
cg24586196	0.890737379	0.00E+00
cg26308818	0.83131943	0.00E+00
cg13249256	0.884695346	0.00E+00
cg13212575	0.895743802	0.00E+00
cg11336590	0.892925917	0.00E+00
cg05446994	0.16271477	0.00E+00
cg06612452	0.140349972	0.00E+00
cg10827226	0.889778902	0.00E+00
cg12446953	0.151418298	0.00E+00
cg14151682	0.064938108	0.00E+00
cg14452549	0.7990538	  0.00E+00
cg17508639	0.70220695	0.00E+00
cg17975245	0.111528765	0.00E+00
cg20596348	0.103157368	0.00E+00
cg20694964	0.858328156	0.00E+00
cg20697630	0.202808644	0.00E+00
cg21499909	0.116752794	0.00E+00
cg21537245	0.081401545	0.00E+00
cg23993660	0.112829155	0.00E+00
cg24455365	0.255927249	0.00E+00
cg24608458	0.804768331	0.00E+00
cg25108841	0.088146437	0.00E+00
cg25469870	0.862253961	0.00E+00
cg27395190	0.072115385	0.00E+00
