#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.819984841	0.00E+00
cg00001349	0.750957016	0.00E+00
cg00001583	0.101156069	0.00E+00
cg00002028	0.116471529	0.00E+00
cg00002719	0.106943073	0.00E+00
cg00002837	0.478706907	0.00E+00
cg00385956	0.905964278	0.00E+00
cg00069017	0.109448389	0.00E+00
cg27053975	0.838868793	0.00E+00
cg17757848	0.920722014	0.00E+00
cg13480774	0.788573444	0.00E+00
cg18894878	0.840316104	0.00E+00
cg19241352	0.943440853	0.00E+00
cg23968893	0.783933643	0.00E+00
cg24453820	0.869713758	0.00E+00
cg24586196	0.899422766	0.00E+00
cg26308818	0.865224039	0.00E+00
cg13249256	0.861151832	0.00E+00
cg13212575	0.890213147	0.00E+00
cg11336590	0.894180509	0.00E+00
cg05446994	0.134164589	0.00E+00
cg06612452	0.129244482	0.00E+00
cg10827226	0.879236858	0.00E+00
cg12446953	0.135010631	0.00E+00
cg14151682	0.054059939	0.00E+00
cg14452549	0.784241869	0.00E+00
cg17508639	0.704356535	0.00E+00
cg17975245	0.131734754	0.00E+00
cg20596348	0.098910394	0.00E+00
cg20694964	0.851253632	0.00E+00
cg20697630	0.208314071	0.00E+00
cg21499909	0.105025684	0.00E+00
cg21537245	0.077348893	0.00E+00
cg23993660	0.122051976	0.00E+00
cg24455365	0.227163631	0.00E+00
cg24608458	0.813213579	0.00E+00
cg25108841	0.088676996	0.00E+00
cg25469870	0.843844985	0.00E+00
cg27395190	0.063196016	0.00E+00
