#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.838464912	0.00E+00
cg00001349	0.755025616	0.00E+00
cg00001583	0.164018403	0.00E+00
cg00002028	0.105982077	0.00E+00
cg00002719	0.080272362	0.00E+00
cg00002837	0.455191945	0.00E+00
cg00385956	0.900737624	0.00E+00
cg00069017	0.129936832	0.00E+00
cg27053975	0.884687685	0.00E+00
cg17757848	0.894003221	0.00E+00
cg13480774	0.758476207	0.00E+00
cg18894878	0.847227205	0.00E+00
cg19241352	0.923066864	0.00E+00
cg23968893	0.820222701	0.00E+00
cg24453820	0.861960917	0.00E+00
cg24586196	0.872660676	0.00E+00
cg26308818	0.833243824	0.00E+00
cg13249256	0.893796302	0.00E+00
cg13212575	0.887856058	0.00E+00
cg11336590	0.890094241	0.00E+00
cg05446994	0.152406845	0.00E+00
cg06612452	0.130241105	0.00E+00
cg10827226	0.888402964	0.00E+00
cg12446953	0.171219512	0.00E+00
cg14151682	0.072758686	0.00E+00
cg14452549	0.780141891	0.00E+00
cg17508639	0.666611461	0.00E+00
cg17975245	0.12477736	0.00E+00
cg20596348	0.119732588	0.00E+00
cg20694964	0.859813084	0.00E+00
cg20697630	0.1868823	  0.00E+00
cg21499909	0.125635887	0.00E+00
cg21537245	0.091831855	0.00E+00
cg23993660	0.108641013	0.00E+00
cg24455365	0.327010329	0.00E+00
cg24608458	0.819920949	0.00E+00
cg25108841	0.086555169	0.00E+00
cg25469870	0.811330581	0.00E+00
cg27395190	0.046798501	0.00E+00
