#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.870653477	0.00E+00
cg00001349	0.72836785	0.00E+00
cg00001583	0.149577361	0.00E+00
cg00002028	0.098012535	0.00E+00
cg00002719	0.102101877	0.00E+00
cg00385956	0.907577588	0.00E+00
cg00069017	0.116640363	0.00E+00
cg27053975	0.889461895	0.00E+00
cg13480774	0.797121183	0.00E+00
cg18894878	0.83684132	0.00E+00
cg19241352	0.914127207	0.00E+00
cg23968893	0.831681254	0.00E+00
cg24453820	0.879128894	0.00E+00
cg24586196	0.852631027	0.00E+00
cg26308818	0.836559667	0.00E+00
cg13249256	0.843328336	0.00E+00
cg13212575	0.867936334	0.00E+00
cg11336590	0.89801036	0.00E+00
cg05446994	0.125467994	0.00E+00
cg06612452	0.152710073	0.00E+00
cg10827226	0.90398137	0.00E+00
cg12446953	0.174954557	0.00E+00
cg14151682	0.065257466	0.00E+00
cg14452549	0.820470314	0.00E+00
cg17508639	0.699703264	0.00E+00
cg17975245	0.11767014	0.00E+00
cg20596348	0.095453958	0.00E+00
cg20694964	0.873554402	0.00E+00
cg20697630	0.195809429	0.00E+00
cg21499909	0.120781768	0.00E+00
cg21537245	0.088561211	0.00E+00
cg23993660	0.110535377	0.00E+00
cg24455365	0.297426592	0.00E+00
cg24608458	0.839435309	0.00E+00
cg25108841	0.08316336	0.00E+00
cg25469870	0.818717124	0.00E+00
cg27395190	0.062871907	0.00E+00
cg17757848	0.886756238	0.00E+00
cg00002837	0.4726795	  0.00E+00
