#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.835039244	0.00E+00
cg00001349	0.766042966	0.00E+00
cg00001583	0.128245539	0.00E+00
cg00002028	0.107264252	0.00E+00
cg00002719	0.066138308	0.00E+00
cg00002837	0.390123313	0.00E+00
cg00385956	0.913319683	0.00E+00
cg00069017	0.10365167	0.00E+00
cg27053975	0.888004516	0.00E+00
cg17757848	0.907369428	0.00E+00
cg13480774	0.727412768	0.00E+00
cg18894878	0.845237089	0.00E+00
cg19241352	0.940954357	0.00E+00
cg23968893	0.79641031	0.00E+00
cg24453820	0.873958333	0.00E+00
cg24586196	0.875094056	0.00E+00
cg26308818	0.847012674	0.00E+00
cg13249256	0.881522406	0.00E+00
cg13212575	0.893179765	0.00E+00
cg11336590	0.896749193	0.00E+00
cg05446994	0.105715279	0.00E+00
cg06612452	0.09211023	0.00E+00
cg10827226	0.898451863	0.00E+00
cg12446953	0.115869018	0.00E+00
cg14151682	0.045001872	0.00E+00
cg14452549	0.756419614	0.00E+00
cg17508639	0.662600719	0.00E+00
cg17975245	0.097041544	0.00E+00
cg20596348	0.086490702	0.00E+00
cg20694964	0.864452487	0.00E+00
cg20697630	0.182275837	0.00E+00
cg21499909	0.089374518	0.00E+00
cg21537245	0.0461984	  0.00E+00
cg23993660	0.096038108	0.00E+00
cg24455365	0.199361963	0.00E+00
cg24608458	0.841004674	0.00E+00
cg25108841	0.071147555	0.00E+00
cg25469870	0.844285874	0.00E+00
cg27395190	0.043468272	0.00E+00
